instant,dteday,season,year,month,hour,holiday,weekday,weather,temperature,feeling_temperature,humidity,wind_speed,casual,registered,total_rent,day_category,humidity_category
1,2011-01-01,Spring,2011,January,0,No,Saturday,Clear,0.24,0.2879,81.0,0.0,3,13,16,Weekend,High
2,2011-01-01,Spring,2011,January,1,No,Saturday,Clear,0.22,0.2727,80.0,0.0,8,32,40,Weekend,High
3,2011-01-01,Spring,2011,January,2,No,Saturday,Clear,0.22,0.2727,80.0,0.0,5,27,32,Weekend,High
4,2011-01-01,Spring,2011,January,3,No,Saturday,Clear,0.24,0.2879,75.0,0.0,3,10,13,Weekend,High
5,2011-01-01,Spring,2011,January,4,No,Saturday,Clear,0.24,0.2879,75.0,0.0,0,1,1,Weekend,High
6,2011-01-01,Spring,2011,January,5,No,Saturday,Mist,0.24,0.2576,75.0,0.0896,0,1,1,Weekend,High
7,2011-01-01,Spring,2011,January,6,No,Saturday,Clear,0.22,0.2727,80.0,0.0,2,0,2,Weekend,High
8,2011-01-01,Spring,2011,January,7,No,Saturday,Clear,0.2,0.2576,86.0,0.0,1,2,3,Weekend,High
9,2011-01-01,Spring,2011,January,8,No,Saturday,Clear,0.24,0.2879,75.0,0.0,1,7,8,Weekend,High
10,2011-01-01,Spring,2011,January,9,No,Saturday,Clear,0.32,0.3485,76.0,0.0,8,6,14,Weekend,High
11,2011-01-01,Spring,2011,January,10,No,Saturday,Clear,0.38,0.3939,76.0,0.2537,12,24,36,Weekend,High
12,2011-01-01,Spring,2011,January,11,No,Saturday,Clear,0.36,0.3333,81.0,0.2836,26,30,56,Weekend,High
13,2011-01-01,Spring,2011,January,12,No,Saturday,Clear,0.42,0.4242,77.0,0.2836,29,55,84,Weekend,High
14,2011-01-01,Spring,2011,January,13,No,Saturday,Mist,0.46,0.4545,72.0,0.2985,47,47,94,Weekend,High
15,2011-01-01,Spring,2011,January,14,No,Saturday,Mist,0.46,0.4545,72.0,0.2836,35,71,106,Weekend,High
16,2011-01-01,Spring,2011,January,15,No,Saturday,Mist,0.44,0.4394,77.0,0.2985,40,70,110,Weekend,High
17,2011-01-01,Spring,2011,January,16,No,Saturday,Mist,0.42,0.4242,82.0,0.2985,41,52,93,Weekend,High
18,2011-01-01,Spring,2011,January,17,No,Saturday,Mist,0.44,0.4394,82.0,0.2836,15,52,67,Weekend,High
19,2011-01-01,Spring,2011,January,18,No,Saturday,Light Rain,0.42,0.4242,88.0,0.2537,9,26,35,Weekend,High
20,2011-01-01,Spring,2011,January,19,No,Saturday,Light Rain,0.42,0.4242,88.0,0.2537,6,31,37,Weekend,High
